taxon,min_yr,max_yr,subfamily,tribe,genus,Amber Locale,Reference
Dolichoderus_transversipetiolaris,15.97,20.44,Dolichoderinae,,Dolichoderus,UK,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446."
Paraphaenogaster_hooleyana,33.9,38,Myrmicinae,Stenammini,Paraphaenogaster,UK,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446."
Ponerites_crawleyi,33.9,38,Ponerinae,Ponerini,Ponerites,UK,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446."
Taphopone_aberrans,33.9,38,Ponerinae,,Taphopone,UK,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446."
Taphopone_microptera,33.9,38,Ponerinae,,Taphopone,UK,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446."
Taphopone_petrosa,33.9,38,Ponerinae,,Taphopone,UK,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446."
Leucotaphus_gurnetensis,33.9,38,Formicinae,,Leucotaphus,UK,T. D. A. Cockerell. 1915. British fossil insects. Proceedings of the United States National Museum 49:469-499
Leucotaphus_donisthorpei,33.9,38,Formicinae,,Leucotaphus,UK,T. D. A. Cockerell. 1915. British fossil insects. Proceedings of the United States National Museum 49:469-499
Boltonidris_mirabilis,33.9,38,Myrmicinae,,Boltonidris,Ukraine,"A. Radchenko and G. M. Dlussky. 2012. Boltonidris gen. nov., the first extinct Stenammini ant genus (Hymenoptera, Formicidae) from the late Eocene Rovno amber. Annales Zoologici 62:627-631"
Bilobomyrma_baltica,33.9,38,Myrmicinae,,Bilobomyrma,Ukraine,"A. Radchenko and G. M. Dlussky. 2013. Bilobomyrma new genus, a new extinct ant genus (Hymenoptera, Formicidae) from the late Eocene European ambers. Journal of Paleontology 87:1060-1066"
Bilobomyrma_ukrainica,33.9,38,Myrmicinae,,Bilobomyrma,Ukraine,"A. Radchenko and G. M. Dlussky. 2013. Bilobomyrma new genus, a new extinct ant genus (Hymenoptera, Formicidae) from the late Eocene European ambers. Journal of Paleontology 87:1060-1066"
Stigmatomma_electrina,33.9,38,,,,Ukraine,"G. M. Dlussky. 2009. The Ant Subfamilies Ponerinae, Cerapachyinae, and Pseudomyrmecinae (Hymenoptera, Formicidae) in the Late Eocene Ambers of Europe. Paleontological Journal 43:1043-1086"
Stigmatomma_groehni,33.9,38,Amblyoponinae,,Stigmatomma,Ukraine,"G. M. Dlussky. 2009. The Ant Subfamilies Ponerinae, Cerapachyinae, and Pseudomyrmecinae (Hymenoptera, Formicidae) in the Late Eocene Ambers of Europe. Paleontological Journal 43:1043-1086"
