taxon,min_yr,max_yr,subfamily,tribe,genus,Amber Locale,Reference
Titanomyrma_lubei,46.2,50.3,Formiciinae,,Titanomyrma,US,"Archibald, S. Bruce; Johnson, Kirk R.; Mathewes, Rolf W.; Greenwood, David R. ""Intercontinental dispersal of giant thermophilic ants across the Arctic during early Eocene hyperthermals"". Proceedings of the Royal Society B. doi:10.1098/rspb.2011.0729"
Protazteca_hendersoni,33.9,37.2,Dolichoderinae,,Protazteca,US,"Carpenter, F. M. 1930. The fossil ants of North America. Bull. Mus. Comp. Zool. 70: 1-66"
Dolichoderus_kohlsi,46.2,50.3,Dolichoderinae,,Dolichoderus,US,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436"
Klondikia_whiteae,47.8,56,,,Klondikia,US,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436"
Kohlsimyrma_gracilis,46.2,50.3,,,Kohlsimyrma,US,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436"
Kohlsimyrma_laticeps,46.2,50.3,,,Kohlsimyrma,US,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436"
Kohlsimyrma_longiceps,46.2,50.3,,,Kohlsimyrma,US,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436"
Myrmecites_rotundiceps,46.2,50.3,Myrmicinae,,Myrmecites,US,"Dlussky, G. M.; Rasnitsyn, A. P. 2003 [2002]. Ants (Hymenoptera: Formicidae) of Formation Green River and some other Middle Eocene deposits of North America. Russ. Entomol. J. 11(4): 411-436"
Solenopsites_minutus,46.2,50.3,Myrmicinae,,Solenopsites,US,"Dlussky, G.M. & Perfilieva, K.S. 2014. Superfamily Formicoidea Latreille, 1802. In: Antropov, A. V., Belokobylskij, S. A., Compton, S. G., Dlussky, G. M., Khalaim, A. I., Kolyada, V. A., Kozlov, M. A., Perfilieva, K. S. & Rasnitsyn, A. P. 2014. The wasps, bees and ants (Insecta: Vespida=Hymenoptera) from the Insect Limestone (Late Eocene) of the Isle of Wight, UK. Earth and Environmental Science Transactions of the Royal Society of Edinburgh 104(3-4):335-446."
Pseudocamponotus_elkoanus,28.4,37.2,Formicinae,Camponotini,Pseudocamponotus,US,"F. M. Carpenter. 1930. The Fossil Ants of North America. Bulletin of the Museum of Comparative Zoology, Harvard University 70:1-66"
Propalosoma_gutierrezae,47.8,56,,,,US,G. M. Dlussky and A. P. Rasnitsyn. 1999. Two new species of aculeate hymenopterans (Vespida=Hymenoptera) from the Middle Eocene of the United States. Paleontological Journal 33:546-549
Camponotus_vetus,46.2,50.3,Formicinae,Camponotini,Camponotus,Utah,S. H. Scudder. 1877. The First Discovered Traces of Fossil Insects in the American Tertiaries. Bulletin of the United States Geological and Geographical Survey of the Territories 3:741-762
Camponotites_kraussei,47.8,56,,,,Washington,G. M. Dlussky and A. P. Rasnitsyn. 1999. Two new species of aculeate hymenopterans (Vespida=Hymenoptera) from the Middle Eocene of the United States. Paleontological Journal 33:546-549
Emplastus_antiquus,11.608,12.7,Dolichoderinae,,Emplastus,Yugoslavia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Emplastus_ocellus,11.608,12.7,Dolichoderinae,,Emplastus,Yugoslavia,"Dlussky, G.M. & Putyatina, T.S. 2014. Early Miocene ants (Hymenoptera, Formicidae) from Radoboj, Croatia. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 272, 237-285."
Aphaenogaster_archaica,23.03,28.4,Myrmicinae,Stenammini,Aphaenogaster,,F. Meunier. 1915. Über einige fossile Insekten aus den Braunkohlenschichten (Aquitanien) von Rott (Siebengebirge). Zeitschrift der Deutschen Geologischen Gesellschaft 67:205-217
Discothyrea_maya,15.97,23.03,Proceratiinae,Proceratiini,Discothyrea,,"M. L. de Andrade. 1998. First fossil records of the ant genus Discothyrea in Dominican and Mexican amber (Hymenoptera, Formicidae). Fragmenta Entomologica 30:201-214"
